,time,lat,lon,delta,dist,heading,rad_heading,m/s,knots
10,2021-10-30 03:25:12,-33.80623016506433487,151.27433471381664276,1.0,2.3098538891593723,86.3076224701916,1.506352181673085,2.3098538891593723,4.4899956233191105
11,2021-10-30 03:25:13,-33.80623016506433487,151.27435985952615738,1.0,2.328342506115345,90.00000699536,1.570796448886961,2.328342506115345,4.525934610457276
12,2021-10-30 03:25:14,-33.806225890293717384,151.27438290975987911,1.0,2.1863479168149076,77.47475939291027,1.3521896385966874,2.1863479168149076,4.249919280013157
13,2021-10-30 03:25:15,-33.80622086115181446,151.27441082149744034,1.0,2.643975466272524,77.82019895950859,1.3582186964004903,2.643975466272524,5.139475846261048
14,2021-10-30 03:25:16,-33.806220609694719315,151.27443529665470123,1.0,2.2664252475288045,89.29488912545536,1.558489820442476,2.2664252475288045,4.405577118857381
15,2021-10-30 03:25:17,-33.806222202256321907,151.27445893362164497,1.0,2.195759116503501,94.61434309501033,1.6513318066194924,2.195759116503501,4.268213184060631
16,2021-10-30 03:25:18,-33.806223208084702492,151.27448156476020813,1.0,2.0984762193215114,93.04756996783321,1.6239864569184836,2.0984762193215114,4.079110408070804
17,2021-10-30 03:25:19,-33.806219687685370445,151.27450612373650074,1.0,2.3072964147354504,80.25657580339431,1.400741494145644,2.3072964147354504,4.485024292005017
18,2021-10-30 03:25:20,-33.806217676028609276,151.27453101798892021,1.0,2.315833783297615,84.4709775737262,1.4742966810398135,2.315833783297615,4.501619604660369
19,2021-10-30 03:25:21,-33.806216837838292122,151.27455247566103935,1.0,1.98902658821884,87.32090876429996,1.5240373637706073,1.98902658821884,3.8663573993496625
20,2021-10-30 03:25:22,-33.806215999647974968,151.27457619644701481,1.0,2.198370246808171,87.57619149475067,1.5284928879404536,2.198370246808171,4.273288814036582
21,2021-10-30 03:25:23,-33.806216251105070114,151.27459832467138767,1.0,2.049131567452497,90.77990019374955,1.584408153012768,2.049131567452497,3.9831921026031316
22,2021-10-30 03:25:24,-33.806217173114418983,151.27462020143866539,1.0,2.028238233963364,92.89021147450352,1.621240033103903,2.028238233963364,3.9425787216602806
23,2021-10-30 03:25:25,-33.806219017133116722,151.27464199438691139,1.0,2.028236667156572,95.78780852400082,1.671812642013704,2.028236667156572,3.942575676032299
24,2021-10-30 03:25:26,-33.806218598037958145,151.27466621808707714,1.0,2.24345189816527,88.81272138521759,1.5500744058284261,2.24345189816527,4.360920511537171
25,2021-10-30 03:25:27,-33.806214574724435806,151.27469111233949661,1.0,2.347860376585738,79.04304683989588,1.3795614181642823,2.347860376585738,4.563874305863927
26,2021-10-30 03:25:28,-33.806212563067674637,151.27471617422997952,1.0,2.3312844688647485,84.50773451936243,1.474938210764142,2.3312844688647485,4.531653327095928
27,2021-10-30 03:25:29,-33.80621214397251606,151.27473830245435238,1.0,2.049469085124991,88.70032545143243,1.5481127267180215,2.049469085124991,3.9838481843057023
28,2021-10-30 03:25:30,-33.806212814524769783,151.27476260997354984,1.0,2.2519601341965183,91.89269495663335,1.60383008552404,2.2519601341965183,4.377459195097097
29,2021-10-30 03:25:31,-33.806214826181530952,151.27478448674082756,1.0,2.0379104845308755,96.28592090430901,1.6805063430950282,2.0379104845308755,3.961380067892435
30,2021-10-30 03:25:32,-33.80621633492410183,151.27480695024132729,1.0,2.0867075700133144,94.59990566947806,1.6510798260084427,2.0867075700133144,4.056233989724961
31,2021-10-30 03:25:33,-33.806219100952148438,151.27483008429408073,1.0,2.1639353616171007,98.1509204171088,1.7130567251414743,2.1639353616171007,4.206352769067231
32,2021-10-30 03:25:34,-33.806223124265670776,151.27485405653715134,1.0,2.264102162380377,101.36761165226903,1.769198578215064,2.264102162380377,4.401061403730122
33,2021-10-30 03:25:35,-33.806224549189209938,151.2748761847615242,1.0,2.0550283693930997,94.41094427315622,1.6477818274834606,2.0550283693930997,3.9946545656745602
34,2021-10-30 03:25:36,-33.806224213913083076,151.27489898353815079,1.0,2.1113582161492195,88.99077366434604,1.5531820043398976,2.1113582161492195,4.104151000312363
35,2021-10-30 03:25:37,-33.806225890293717384,151.27492144703865051,1.0,2.0882807975560285,95.10843607912369,1.6599553560032745,2.0882807975560285,4.059292098644501
36,2021-10-30 03:25:38,-33.806229494512081146,151.27494407817721367,1.0,2.1333016380780405,100.80096434601467,1.7593087170233686,2.1333016380780405,4.146805589368171
37,2021-10-30 03:25:39,-33.806230919435620308,151.27496419474482536,1.0,1.8693674176109152,94.85002878760866,1.6554452979551766,1.8693674176109152,3.6337586385184717
38,2021-10-30 03:25:40,-33.806233685463666916,151.27498690970242023,1.0,2.1255284289036225,98.29923144476145,1.7156452408910297,2.1255284289036225,4.131695683353733
39,2021-10-30 03:25:41,-33.80623653531074524,151.27500836737453938,1.0,2.0118404242852335,99.03981956354595,1.7285709419649702,2.0118404242852335,3.910703937704305
40,2021-10-30 03:25:42,-33.806236451491713524,151.27503594383597374,1.0,2.553432352643259,89.79139177821395,1.5671554264779994,2.553432352643259,4.963474158091483
41,2021-10-30 03:25:43,-33.80623888224363327,151.2750574853271246,1.0,2.012753072176655,97.6981446239843,1.7051542967781235,2.012753072176655,3.9124779828321574
42,2021-10-30 03:25:44,-33.806241648271679878,151.27507634460926056,1.0,1.7730035358189113,99.96476246091216,1.7447142409169465,1.7730035358189113,3.4464422850803755
43,2021-10-30 03:25:45,-33.806246928870677948,151.27509528771042824,1.0,1.849227945883471,108.46568831514108,1.8930833865411525,1.849227945883471,3.59461064723791
